Date,HFRI EQUITY HEDGE (TOTAL) - TOT RETURN IND,HFRI FUND OF FUNDS COMPOSITE - TOT RETURN IND,HFRI FUND WEIGHTED HEDGE FUND - TOT RETURN IND,MSCI EM - TOT RETURN IND,MSCI EAFE - TOT RETURN IND,RUSSELL 2000 - PRICE INDEX,S&P 500 COMPOSITE - TOT RETURN IND,BARCLAYS US TREASURY BELLWETHERS 2Y - TOTAL RETURN MTD,BARCLAYS US TREASURY BELLWETHERS 10Y - TOTAL RETURN MTD,Barclay Currency Traders Index - TOT RETURN IND
1/31/96,0.011,0.027,0.029,0.076,0.037,-0.002,0.034,0.009,0.004,0.051
2/29/96,0.028,-0.006,0.012,-0.006,-0.01,0.03,0.009,-0.005,-0.036,-0.037
3/29/96,0.019,0.01,0.015,0.011,0.028,0.018,0.01,-0.002,-0.011,-0.003
4/30/96,0.053,0.031,0.04,0.052,0.035,0.053,0.015,0,-0.017,0.045
5/31/96,0.037,0.015,0.031,0.001,-0.012,0.039,0.026,0.002,-0.006,-0.014
6/28/96,-0.007,0.004,0.002,0.009,0.01,-0.042,0.004,0.008,0.015,-0.003
7/31/96,-0.029,-0.019,-0.021,-0.062,-0.049,-0.088,-0.044,0.004,0,-0.01
8/30/96,0.026,0.015,0.023,0.026,0.009,0.057,0.021,0.004,-0.005,-0.014
9/30/96,0.022,0.012,0.021,0.014,0.046,0.037,0.056,0.009,0.022,0.009
10/31/96,0.016,0.016,0.01,-0.014,-0.012,-0.017,0.028,0.012,0.029,0.041
11/29/96,0.017,0.023,0.021,0.017,0.04,0.04,0.076,0.008,0.028,0.004
12/31/96,0.008,0.007,0.013,0.01,-0.007,0.024,-0.02,0,-0.021,0
1/31/97,0.028,0.035,0.032,0.069,0.015,0.019,0.062,0.005,-0.001,0.045
2/28/97,-0.002,0.017,0.01,0.046,0.024,-0.025,0.008,0.002,-0.001,0.02
3/31/97,-0.007,-0.008,-0.016,-0.025,0.005,-0.049,-0.041,-0.001,-0.021,-0.009
4/30/97,-0.003,0.004,-0.001,0.01,0.03,0.001,0.06,0.008,0.02,0.009
5/30/97,0.05,0.018,0.044,0.03,0.029,0.11,0.061,0.007,0.011,-0.022
6/30/97,0.02,0.025,0.027,0.06,0.054,0.041,0.045,0.007,0.017,0.007
7/31/97,0.05,0.046,0.039,0.043,0.052,0.046,0.08,0.012,0.041,0.037
8/29/97,0.013,-0.003,0.003,-0.108,-0.073,0.022,-0.056,0.001,-0.021,-0.007
9/30/97,0.057,0.028,0.037,0.043,0.051,0.072,0.055,0.007,0.022,-0.007
10/31/97,0.004,-0.014,-0.015,-0.137,-0.094,-0.045,-0.033,0.008,0.026,0.001
11/28/97,-0.009,-0.005,-0.009,-0.017,0.018,-0.008,0.046,0.001,0.003,0.024
12/31/97,0.014,0.01,0.009,0.057,0.032,0.017,0.017,0.007,0.013,0.013
1/30/98,-0.002,-0.01,-0.007,-0.052,0.048,-0.016,0.011,0.01,0.021,-0.001
2/27/98,0.041,0.019,0.033,0.082,0.057,0.074,0.072,0,-0.007,-0.022
3/31/98,0.045,0.04,0.03,0.047,0.051,0.041,0.051,0.004,0.001,0.031
4/30/98,0.014,0.009,0.01,-0.008,-0.007,0.005,0.01,0.005,0.004,-0.012
5/29/98,-0.013,-0.009,-0.021,-0.119,0.009,-0.054,-0.017,0.005,0.011,0.029
6/30/98,0.005,-0.006,-0.001,-0.075,0.011,0.002,0.041,0.005,0.013,0.013
7/31/98,-0.007,-0.002,-0.008,0.031,0.016,-0.082,-0.011,0.005,0,-0.001
8/31/98,-0.077,-0.075,-0.087,-0.266,-0.135,-0.195,-0.145,0.014,0.039,0.003
9/30/98,0.032,-0.026,0.007,0.061,-0.066,0.076,0.064,0.014,0.051,0.008
10/30/98,0.025,-0.02,0.012,0.081,0.063,0.04,0.081,0.005,-0.01,0.031
11/30/98,0.038,0.014,0.037,0.081,0.079,0.052,0.061,-0.003,-0.017,-0.012
12/31/98,0.054,0.016,0.028,-0.014,0.013,0.061,0.058,0.003,-0.017,-0.01
1/29/99,0.05,0.014,0.022,0.049,0.022,0.012,0.042,0.002,-0.017,0.003
2/26/99,-0.024,-0.002,-0.013,0.022,0.003,-0.082,-0.031,-0.006,-0.043,0.023
3/31/99,0.04,0.021,0.031,0.111,0.047,0.014,0.04,0.007,0.007,0.01
4/30/99,0.053,0.033,0.045,0.112,0.052,0.088,0.039,0.002,-0.004,0.019
5/31/99,0.012,0.008,0.007,0.007,-0.039,0.014,-0.024,-0.002,-0.021,-0.007
6/30/99,0.038,0.028,0.036,0.103,0.046,0.043,0.055,0.003,-0.009,-0.01
7/30/99,0.006,0.007,0.005,-0.019,-0.007,-0.028,-0.031,0.003,-0.003,-0.013
8/31/99,0,0.001,0,0.016,0.001,-0.038,-0.005,0.003,-0.005,0.011
9/30/99,0.003,-0.001,0.002,-0.024,-0.007,-0.001,-0.027,0.007,0.011,-0.001
10/29/99,0.023,0.013,0.016,0.022,0.039,0.003,0.063,0.001,-0.004,-0.014
11/30/99,0.068,0.049,0.051,0.089,0.055,0.059,0.02,0.001,-0.006,0.018
12/31/99,0.109,0.068,0.076,0.114,0.089,0.112,0.059,0.001,-0.014,-0.006
1/31/00,0.003,0.015,0.006,0.008,-0.04,-0.017,-0.05,-0.001,-0.01,0.002
2/29/00,0.1,0.052,0.062,0.013,0.048,0.164,-0.019,0.006,0.014,-0.001
3/31/00,0.017,0.002,0.009,0.002,0.02,-0.067,0.098,0.006,0.035,-0.01
4/28/00,-0.042,-0.034,-0.028,-0.078,-0.013,-0.061,-0.03,0.001,-0.01,0.002
5/31/00,-0.024,-0.016,-0.02,-0.029,-0.023,-0.059,-0.021,0.005,0.001,0.001
6/30/00,0.048,0.028,0.037,0.031,0.014,0.086,0.025,0.011,0.024,-0.009
7/31/00,-0.016,-0.002,-0.006,-0.049,-0.014,-0.032,-0.016,0.006,0.005,-0.005
8/31/00,0.054,0.02,0.038,0.008,0.028,0.074,0.062,0.007,0.016,0.005
9/29/00,-0.011,-0.012,-0.012,-0.076,-0.043,-0.031,-0.053,0.008,-0.001,0.001
10/31/00,-0.02,-0.01,-0.018,-0.051,0.002,-0.045,-0.004,0.006,0.008,0.016
11/30/00,-0.043,-0.015,-0.035,-0.078,-0.041,-0.104,-0.079,0.01,0.027,0
12/29/00,0.032,0.014,0.021,0.019,-0.006,0.084,0.005,0.012,0.029,0.042
1/31/01,0.029,0.019,0.034,0.138,0.014,0.051,0.035,0.013,0.002,0.006
2/28/01,-0.026,-0.007,-0.022,-0.068,-0.063,-0.067,-0.091,0.006,0.013,-0.001
3/30/01,-0.023,-0.004,-0.016,-0.078,-0.029,-0.05,-0.063,0.007,0.003,0.04
4/30/01,0.023,0.007,0.02,0.047,0.063,0.077,0.078,0.002,-0.026,-0.01
5/31/01,0.009,0.009,0.012,0.023,-0.022,0.023,0.007,0.006,-0.001,0.008
6/29/01,-0.003,-0.001,0.003,-0.017,-0.026,0.033,-0.024,0.002,0.005,-0.005
7/31/01,-0.011,-0.004,-0.008,-0.053,-0.036,-0.055,-0.01,0.012,0.032,-0.021
8/31/01,-0.012,0.002,-0.004,-0.007,-0.058,-0.033,-0.063,0.007,0.014,0.008
9/28/01,-0.037,-0.016,-0.028,-0.134,-0.104,-0.136,-0.081,0.018,0.024,-0.006
