Date,DELTA,NASDAQ,S&P_Index,DJCS_Hedge,HFRI_FW
200810,0.0122,-0.1773,-0.1694,-0.063,-0.0684
200811,0.0172,-0.1077,-0.0748,-0.0415,-0.0267
200812,0.0405,0.027,0.0078,-0.0003,0.0015
200901,0.0279,-0.0638,-0.0857,0.0109,-0.0009
200902,-0.001,-0.0668,-0.1099,-0.0088,-0.0121
200903,0.0232,0.1094,0.0854,0.0065,0.0166
200904,0.0309,0.1235,0.0939,0.0168,0.036
200905,-0.0035,0.0332,0.0531,0.0406,0.0515
200906,0.0178,0.0342,0.0002,0.0043,0.0025
200907,0.0193,0.0782,0.0741,0.0254,0.025
200908,0.0448,0.0154,0.0336,0.0153,0.013
200909,0.027,0.0564,0.0357,0.0304,0.0279
200910,-0.0031,-0.0364,-0.0198,0.0013,-0.002
200911,0.0096,0.0486,0.0574,0.0211,0.0152
200912,0.0055,0.0581,0.0178,0.0088,0.0128
201001,-0.0066,-0.0537,-0.037,0.0017,-0.0076
201002,-0.0027,0.0423,0.0285,0.0068,0.0066
201003,0.0223,0.0714,0.0588,0.0222,0.0249
201004,0.0218,0.0264,0.0148,0.0124,0.0119
201005,-0.0337,-0.0829,-0.082,-0.0276,-0.0289
201006,0.0139,-0.0655,-0.0539,-0.0084,-0.0095
201007,0.0162,0.069,0.0688,0.0159,0.0161
201008,0.0202,-0.0624,-0.0474,0.0023,-0.0013
201009,0.0333,0.1204,0.0876,0.0343,0.0348
201010,0.0247,0.0586,0.0369,0.0192,0.0214
201011,0.0103,-0.0037,-0.0023,-0.0018,0.0019
201012,0.0193,0.0619,0.0653,0.029,0.0295
201101,-0.0041,0.0178,0.0226,0.0069,0.0041
201102,-0.0045,0.0304,0.032,0.0138,0.0123
201103,0.0092,-0.0004,-0.001,0.0012,0.0006
201104,0.0231,0.0332,0.0285,0.018,0.0145
201105,-0.0084,-0.0133,-0.0135,-0.0096,-0.0118
