Date,HFRI EQUITY HEDGE (TOTAL) - TOT RETURN IND,HFRI FUND OF FUNDS COMPOSITE - TOT RETURN IND,HFRI FUND WEIGHTED HEDGE FUND - TOT RETURN IND,MSCI EM - TOT RETURN IND,MSCI EAFE - TOT RETURN IND,RUSSELL 2000 - PRICE INDEX,S&P 500 COMPOSITE - TOT RETURN IND,BARCLAYS US TREASURY BELLWETHERS 2Y - TOTAL RETURN MTD,BARCLAYS US TREASURY BELLWETHERS 10Y - TOTAL RETURN MTD,Barclay Currency Traders Index - TOT RETURN IND
1996-01-31,0.011,0.027,0.029,0.076,0.037,-0.002,0.034,0.009,0.004,0.051
1996-02-29,0.028,-0.006,0.012,-0.006,-0.01,0.03,0.009,-0.005,-0.036,-0.037
1996-03-29,0.019,0.01,0.015,0.011,0.028,0.018,0.01,-0.002,-0.011,-0.003
1996-04-30,0.053,0.031,0.04,0.052,0.035,0.053,0.015,0,-0.017,0.045
1996-05-31,0.037,0.015,0.031,0.001,-0.012,0.039,0.026,0.002,-0.006,-0.014
1996-06-28,-0.007,0.004,0.002,0.009,0.01,-0.042,0.004,0.008,0.015,-0.003
1996-07-31,-0.029,-0.019,-0.021,-0.062,-0.049,-0.088,-0.044,0.004,0,-0.01
1996-08-30,0.026,0.015,0.023,0.026,0.009,0.057,0.021,0.004,-0.005,-0.014
1996-09-30,0.022,0.012,0.021,0.014,0.046,0.037,0.056,0.009,0.022,0.009
1996-10-31,0.016,0.016,0.01,-0.014,-0.012,-0.017,0.028,0.012,0.029,0.041
1996-11-29,0.017,0.023,0.021,0.017,0.04,0.04,0.076,0.008,0.028,0.004
1996-12-31,0.008,0.007,0.013,0.01,-0.007,0.024,-0.02,0,-0.021,0
1997-01-31,0.028,0.035,0.032,0.069,0.015,0.019,0.062,0.005,-0.001,0.045
1997-02-28,-0.002,0.017,0.01,0.046,0.024,-0.025,0.008,0.002,-0.001,0.02
1997-03-31,-0.007,-0.008,-0.016,-0.025,0.005,-0.049,-0.041,-0.001,-0.021,-0.009
1997-04-30,-0.003,0.004,-0.001,0.01,0.03,0.001,0.06,0.008,0.02,0.009
1997-05-30,0.05,0.018,0.044,0.03,0.029,0.11,0.061,0.007,0.011,-0.022
1997-06-30,0.02,0.025,0.027,0.06,0.054,0.041,0.045,0.007,0.017,0.007
1997-07-31,0.05,0.046,0.039,0.043,0.052,0.046,0.08,0.012,0.041,0.037
1997-08-29,0.013,-0.003,0.003,-0.108,-0.073,0.022,-0.056,0.001,-0.021,-0.007
1997-09-30,0.057,0.028,0.037,0.043,0.051,0.072,0.055,0.007,0.022,-0.007
1997-10-31,0.004,-0.014,-0.015,-0.137,-0.094,-0.045,-0.033,0.008,0.026,0.001
1997-11-28,-0.009,-0.005,-0.009,-0.017,0.018,-0.008,0.046,0.001,0.003,0.024
1997-12-31,0.014,0.01,0.009,0.057,0.032,0.017,0.017,0.007,0.013,0.013
1998-01-30,-0.002,-0.01,-0.007,-0.052,0.048,-0.016,0.011,0.01,0.021,-0.001
1998-02-27,0.041,0.019,0.033,0.082,0.057,0.074,0.072,0,-0.007,-0.022
