Date,DELTA,NASDAQ,S&P_Index,DJCS_Hedge,HFRI_FW
200810,1.22%,-17.73%,-16.94%,-6.30%,-6.84%
200811,1.72%,-10.77%,-7.48%,-4.15%,-2.67%
200812,4.05%,2.70%,0.78%,-0.03%,0.15%
200901,2.79%,-6.38%,-8.57%,1.09%,-0.09%
200902,-0.10%,-6.68%,-10.99%,-0.88%,-1.21%
200903,2.32%,10.94%,8.54%,0.65%,1.66%
200904,3.09%,12.35%,9.39%,1.68%,3.60%
200905,-0.35%,3.32%,5.31%,4.06%,5.15%
200906,1.78%,3.42%,0.02%,0.43%,0.25%
200907,1.93%,7.82%,7.41%,2.54%,2.50%
200908,4.48%,1.54%,3.36%,1.53%,1.30%
200909,2.70%,5.64%,3.57%,3.04%,2.79%
200910,-0.31%,-3.64%,-1.98%,0.13%,-0.20%
200911,0.96%,4.86%,5.74%,2.11%,1.52%
200912,0.55%,5.81%,1.78%,0.88%,1.28%
201001,-0.66%,-5.37%,-3.70%,0.17%,-0.76%
201002,-0.27%,4.23%,2.85%,0.68%,0.66%
201003,2.23%,7.14%,5.88%,2.22%,2.49%
201004,2.18%,2.64%,1.48%,1.24%,1.19%
201005,-3.37%,-8.29%,-8.20%,-2.76%,-2.89%
201006,1.39%,-6.55%,-5.39%,-0.84%,-0.95%
201007,1.62%,6.90%,6.88%,1.59%,1.61%
201008,2.02%,-6.24%,-4.74%,0.23%,-0.13%
201009,3.33%,12.04%,8.76%,3.43%,3.48%
201010,2.47%,5.86%,3.69%,1.92%,2.14%
201011,1.03%,-0.37%,-0.23%,-0.18%,0.19%
201012,1.93%,6.19%,6.53%,2.90%,2.95%
201101,-0.41%,1.78%,2.26%,0.69%,0.41%
201102,-0.45%,3.04%,3.20%,1.38%,1.23%
201103,0.92%,-0.04%,-0.10%,0.12%,0.06%
201104,2.31%,3.32%,2.85%,1.80%,1.45%
201105,-0.84%,-1.33%,-1.35%,-0.96%,-1.18%
