,Mkt-RF,SMB,HML,RF
20220103,0.73%,0.32%,0.79%,0.00%
20220104,-0.29%,-0.81%,3.62%,0.00%
20220105,-2.28%,-1.46%,2.60%,0.00%
20220106,0.00%,0.21%,1.75%,0.00%
20220107,-0.48%,-1.32%,2.02%,0.00%
20220110,-0.15%,-0.23%,-0.27%,0.00%
20220111,1.10%,-0.09%,-0.29%,0.00%
20220112,0.12%,-0.88%,0.50%,0.00%
20220113,-1.57%,0.31%,2.40%,0.00%
20220114,0.08%,0.18%,0.53%,0.00%
20220118,-2.08%,-1.03%,1.38%,0.00%
20220119,-1.01%,-0.32%,-0.68%,0.00%
20220120,-1.14%,-0.86%,-0.23%,0.00%
20220121,-2.10%,0.28%,0.48%,0.00%
20220124,0.53%,1.82%,-0.26%,0.00%
20220125,-1.43%,-0.62%,2.79%,0.00%
20220126,-0.30%,-1.09%,0.10%,0.00%
20220127,-0.79%,-1.64%,0.78%,0.00%
20220128,2.45%,-0.14%,-2.07%,0.00%
20220131,2.34%,1.30%,-2.85%,0.00%
20220201,0.87%,0.05%,0.66%,0.00%
20220202,0.48%,-1.73%,0.71%,0.00%
20220203,-2.49%,-0.06%,2.20%,0.00%
20220204,0.89%,-0.02%,-0.59%,0.00%
20220207,-0.25%,0.52%,0.23%,0.00%
20220208,1.02%,0.69%,-0.28%,0.00%
20220209,1.61%,0.22%,-1.96%,0.00%
20220210,-1.69%,-0.15%,1.23%,0.00%
20220211,-1.92%,0.60%,2.12%,0.00%
20220214,-0.35%,0.22%,-0.59%,0.00%
20220215,1.87%,1.33%,-1.42%,0.00%
20220216,-0.02%,-0.09%,0.31%,0.00%
20220217,-2.28%,-0.27%,1.10%,0.00%
20220218,-0.87%,-0.09%,0.93%,0.00%
20220222,-1.18%,-0.49%,0.11%,0.00%
20220223,-1.96%,-0.20%,1.25%,0.00%
20220224,1.89%,1.50%,-3.86%,0.00%
20220225,2.23%,-0.42%,1.22%,0.00%
20220228,0.05%,0.64%,-0.50%,0.00%
20220301,-1.56%,-0.10%,-0.83%,0.00%
20220302,1.81%,0.44%,1.33%,0.00%
20220303,-0.88%,-0.57%,1.51%,0.00%
20220304,-1.10%,-0.66%,0.68%,0.00%
20220307,-3.12%,0.58%,0.90%,0.00%
20220308,-0.52%,1.00%,0.33%,0.00%
20220309,2.80%,0.33%,-2.09%,0.00%
20220310,-0.47%,0.12%,1.16%,0.00%
20220311,-1.49%,-0.44%,1.79%,0.00%
20220314,-1.06%,-1.32%,1.76%,0.00%
20220315,2.15%,-0.13%,-2.39%,0.00%
20220316,2.61%,0.79%,-1.82%,0.00%
20220317,1.43%,0.28%,-1.09%,0.00%
20220318,1.33%,0.27%,-1.86%,0.00%
20220321,-0.18%,-1.11%,1.59%,0.00%
20220322,1.31%,0.03%,-1.15%,0.00%
20220323,-1.26%,-0.64%,0.37%,0.00%
20220324,1.42%,-0.08%,-0.79%,0.00%
20220325,0.27%,-0.59%,2.17%,0.00%
20220328,0.73%,-0.55%,-1.69%,0.00%
20220329,1.45%,1.54%,-1.92%,0.00%
20220330,-0.83%,-1.28%,0.39%,0.00%
20220331,-1.55%,0.71%,-0.44%,0.00%
20220401,0.39%,0.68%,-0.58%,0.00%
20220404,0.94%,-0.05%,-1.87%,0.00%
20220405,-1.54%,-0.97%,0.84%,0.00%
20220406,-1.24%,-0.66%,1.09%,0.00%
20220407,0.33%,-0.61%,-0.13%,0.00%
20220408,-0.39%,-1.00%,2.24%,0.00%
20220411,-1.53%,0.29%,1.07%,0.00%
20220412,-0.29%,0.55%,0.45%,0.00%
20220413,1.40%,0.90%,-0.71%,0.00%
20220414,-1.28%,0.02%,1.41%,0.00%
20220418,-0.21%,-0.81%,1.80%,0.00%
20220419,1.77%,0.59%,-0.95%,0.00%
20220420,-0.28%,0.20%,1.25%,0.00%
20220421,-1.75%,-0.71%,0.41%,0.00%
20220422,-2.74%,0.29%,-0.16%,0.00%
20220425,0.71%,0.45%,-1.84%,0.00%
20220426,-3.00%,-0.66%,1.79%,0.00%
20220427,0.12%,-0.60%,0.33%,0.00%
20220428,2.44%,-0.18%,-0.45%,0.00%
20220429,-3.53%,0.75%,0.58%,0.00%
20220502,0.80%,0.59%,-1.15%,0.00%
20220503,0.41%,-0.17%,1.62%,0.00%
20220504,3.00%,-0.46%,0.25%,0.00%
20220505,-3.80%,-0.78%,2.37%,0.00%
20220506,-0.85%,-1.31%,1.77%,0.00%
20220509,-3.54%,-0.49%,1.38%,0.00%
20220510,0.21%,-0.23%,-1.23%,0.00%
20220511,-1.94%,-1.12%,2.59%,0.00%
20220512,0.17%,1.28%,-1.22%,0.00%
20220513,2.76%,0.89%,-2.20%,0.00%
20220516,-0.60%,-0.23%,1.33%,0.00%
20220517,2.14%,0.98%,-0.05%,0.00%
20220518,-4.04%,0.22%,1.53%,0.00%
20220519,-0.34%,0.47%,-0.80%,0.00%
20220520,-0.05%,-0.11%,-0.18%,0.00%
20220523,1.74%,-1.07%,1.29%,0.00%
20220524,-1.23%,-0.94%,1.84%,0.00%
20220525,1.22%,0.78%,0.21%,0.00%
20220526,2.18%,0.20%,-0.63%,0.00%
20220527,2.58%,0.35%,-1.30%,0.00%
20220531,-0.71%,-0.49%,0.44%,0.00%
