Financial Instrument,EBIT - MRQ,P/E
KODK,-8000000,7953.845913
PRMW,,7551.300774
AGCB,,7431.818516
GCI,,6250
ATI,64800000,3735.340712
CPTK,,3110.76
ORAN,,2604.735888
SBII,,2119.306
HL PRB,-2.063E+12,1922.690597
OACB,,1427.719817
AG,,977.7360722
BB,51000000,930.8956707
SWCH,28439000,838.0085835
EDR,,600.6590758
H,-31000000,587.3810497
STAR PRD,1.9778E+13,584.0585806
STAR PRI,1.9778E+13,562.0704929
CEIX,62015000,533.0600364
KOS,,476.8276653
IVT,,431.5568317
CRHC,,431.7984
NOW,35000000,415.9044227
NCR,146000000,403.9389951
NSR,,391.8374225
AMRX,38266000,335.6298609
STAR,-56006000,327.3018477
SCS,15900000,323.5036093
CLAA,,291.4438
SPOT,,273.3783372
WELL,191031000,272.6731914
TCI,26754000,258.8908628
SHOP,14403990,255.8304649
PAY,,255.8230905
WFC PRL,6.64E+14,240.187153
CWEN,,240.1286703
MSA,-65404000,231.8526566
GFOR,,226.3403
CWEN A,68000000,221.3366276
DT,,219.0064374
CTRE,23950000,215.073781
TTI,1498000,213.3949674
NTST,,209.8833266
ESTE,54848000,203.5529523
BLUA,,201.107
ODC,445000,198.0277201
ERJ,,193.7731124
PV,,193.3897685
NABL,,192.7643204
PPL,308000000,191.3987454
IVH,,179.7369051
