,Mkt,Rf,S,B,H,L,U,D
1927,33.42,3.13,30.57,33.45,33.27,38.8,38.27,15.39
1928,39.05,3.54,38.49,34.52,32.3,41.46,50.31,22.81
1929,-15.02,4.74,-36.93,-8.24,-19.85,-32.65,-21.12,-42.41
1930,-28.81,2.43,-37.82,-32.97,-44.77,-31.15,-23.22,-49.61
1931,-44.35,1.09,-47.32,-51.78,-55.06,-39.83,-35.33,-59.62
1932,-8.48,0.95,-4.72,-8.93,-0.96,-6.59,-14.08,5.47
1933,57.5,0.3,134.58,83.86,117.8,102.03,109.23,89.96
1934,4.27,0.18,20.88,-4.57,-6.5,23.48,21.12,2.92
1935,44.84,0.14,59.4,46.84,52.15,45.28,68.88,47.82
1936,32.15,0.18,53.07,37.61,60.66,31.78,45.9,39.45
1937,-34.61,0.29,-49.62,-35.7,-46.27,-41.38,-44.23,-41.39
1938,28.16,-0.04,37.8,26.15,25.71,38.51,31.53,31.11
1939,2.12,0.01,2.62,-2.67,-8.03,9.23,3.15,2.43
1940,-7.45,-0.02,-3.69,-5.07,-6.23,-4.62,-3.67,-9.41
1941,-9.63,0.04,-11.04,-6.09,-2.85,-15.01,-4.36,-13.31
1942,16.3,0.28,26.99,21.45,34.36,14.97,16.96,31.98
1943,28.06,0.36,64,33.35,67.92,33.56,55.63,41.89
1944,21.35,0.33,43.69,26.79,45.85,28.67,41.21,31.01
1945,38.45,0.32,66.21,39.96,61.84,48.12,64.3,50.01
1946,-5.9,0.36,-10.01,-6,-7.83,-10.35,-7.59,-12.64
1947,3.38,0.5,-1.84,5.67,7,-2.14,6.93,-7.4
1948,2.33,0.81,-5.63,3.34,1.4,-1.91,4.16,-8.19
1949,20.11,1.12,22.54,19.37,19.88,23.42,23.33,22.88
1950,30.03,1.22,38.48,36.47,53.69,27.06,43.63,28.07
1951,20.83,1.49,14.76,19.73,13.32,18.16,24.04,12.56
1952,13.29,1.65,8.87,15.42,14.07,10.97,15.03,6.01
1953,0.36,1.83,-2.86,-1.5,-6.98,0.81,5.49,-10.85
1954,50.17,0.86,55.8,57.75,70.38,45.5,59.49,48.98
1955,25.3,1.57,19.46,25.71,26.63,21.23,29.31,15.36
1956,8.48,2.47,6.95,7.62,4.68,7.09,16.84,-2.46
