Fund Name,Firm Name,Fund Size US$ Bil.,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Winton Futures USD Cls B,Winton Capital Management Limited,9.89,7.11,18.34,27.75,22.63,9.73,17.83,17.97,20.99,-4.63,14.46,6.29
Millennium International Ltd,Millennium International Management LP,8.84,15.26,9.61,10.89,14.68,11.31,16.43,10.99,-3.04,16.28,13.22,8.39
Transtrend DTP - Enhanced Risk (USD),Transtrend BV,8.38,26.36,26.26,8.48,12.82,5.99,12.04,22.38,29.38,-11.27,14.89,-8.65
The Genesis Emerging Mkts Invt Com A,"Genesis Investment Management, LLP",6.7,4.62,-1.77,61.98,31.53,37.86,30.22,31.68,-49.3,90.44,25.06,-15.29
Aspect Diversified Programme,Aspect Capital Limited,5.71,15.79,19.19,20.59,-7.72,12.01,12.84,8.18,25.42,-11.24,15.36,4.51
Aurora Offshore Fund Ltd.,Aurora Investment Management L.L.C.,5.56,9.82,1.31,13.58,8.15,9.47,10.95,13.14,-21.69,21.26,7.31,-6.01
Permal Macro Holdings Ltd USD A,Permal Asset Management Inc.,5.35,14.66,8.03,12.56,4.86,10.65,9.48,8.9,-5.16,9.83,6.38,-3.27
Canyon Value Realization Cayman Ltd A,Canyon Capital Advisors LLC,5.21,12.69,5.21,21.87,13.56,8.35,14.08,7.52,-28.36,55.2,13.46,-4.66
Permal Fixed Income Holdings NV USD A,Permal Asset Management Inc.,4.51,11.5,10.47,17.59,9.37,7.69,10.48,8.42,-18.4,27.32,10.4,-5.28
Absolute Alpha Fund PCC Diversified,Financial Risk Management Limited,4.47,9.33,6.36,8.07,4.06,7,8.94,16.33,-23.02,10.51,5.36,-2.06
Caxton Global Investments Ltd,Caxton Associates LP,4.4,31.41,26.44,8.09,9.97,8.03,13.17,1.06,12.96,5.83,11.42,0
GAM U.S. Institutional Trading,GAM Sterling Management Limited,3.57,16.34,10.69,14.74,3.55,4.98,8.68,9.48,7.57,8.32,7.8,-2.4
K4D-10V Portfolio,Graham Capital Management,3.54,6.45,18.76,8.46,5.56,-7.52,5.02,11.62,21.82,1.41,2.46,0
K4D-15V Portfolio,Graham Capital Management,3.54,39.31,43.71,21.6,-0.43,-16.97,6.64,16.57,35.67,3.11,4.58,0
Orbis Optimal (US$) Fund,Orbis Investment Management Limited,3.43,29.01,12.15,10.84,2.25,8.6,4.95,6.98,-2.49,9.92,-3.93,-2.32
GAM Trading II USD Open,GAM Sterling Management Limited,3.09,14.78,10.55,14.49,3.84,4.8,7.44,7.93,5.78,6.55,5.97,-4.11
Double Black Diamond Ltd (Carlson),Carlson Capital LP.,2.98,11.94,2.12,7.62,4.7,5.08,21.12,15.96,-12.4,28.34,9.3,-2.67
GoldenTree High Yield Master Fund Ltd,Goldentree Asset Management LP,2.65,18.3,6.24,31.42,9.89,13.35,13.21,4.6,-38.6,69.94,23.61,
Bay Resource Partners Offshore Fund Ltd,GMT Capital Corp,2.45,29.32,0.03,23.24,27.97,30.95,21.65,19.84,-20.88,56.6,15.9,-4.19
GAM U.S. Institutional Diversity,GAM Sterling Management Limited,2.43,9.56,4.95,14.6,6.14,10.48,16.74,7.76,-13.96,6.78,-1.14,-2.79
