Date,HFRI EQUITY HEDGE (TOTAL) - TOT RETURN IND,HFRI FUND OF FUNDS COMPOSITE - TOT RETURN IND,HFRI FUND WEIGHTED HEDGE FUND - TOT RETURN IND,MSCI EM - TOT RETURN IND,MSCI EAFE - TOT RETURN IND,RUSSELL 2000 - PRICE INDEX,S&P 500 COMPOSITE - TOT RETURN IND,BARCLAYS US TREASURY BELLWETHERS 2Y - TOTAL RETURN MTD,BARCLAYS US TREASURY BELLWETHERS 10Y - TOTAL RETURN MTD,Barclay Currency Traders Index - TOT RETURN IND
1/31/96,1.10%,2.70%,2.90%,7.60%,3.70%,-0.20%,3.40%,0.90%,0.40%,5.10%
2/29/96,2.80%,-0.60%,1.20%,-0.60%,-1.00%,3.00%,0.90%,-0.50%,-3.60%,-3.70%
3/29/96,1.90%,1.00%,1.50%,1.10%,2.80%,1.80%,1.00%,-0.20%,-1.10%,-0.30%
4/30/96,5.30%,3.10%,4.00%,5.20%,3.50%,5.30%,1.50%,0.00%,-1.70%,4.50%
5/31/96,3.70%,1.50%,3.10%,0.10%,-1.20%,3.90%,2.60%,0.20%,-0.60%,-1.40%
6/28/96,-0.70%,0.40%,0.20%,0.90%,1.00%,-4.20%,0.40%,0.80%,1.50%,-0.30%
7/31/96,-2.90%,-1.90%,-2.10%,-6.20%,-4.90%,-8.80%,-4.40%,0.40%,0.00%,-1.00%
8/30/96,2.60%,1.50%,2.30%,2.60%,0.90%,5.70%,2.10%,0.40%,-0.50%,-1.40%
9/30/96,2.20%,1.20%,2.10%,1.40%,4.60%,3.70%,5.60%,0.90%,2.20%,0.90%
10/31/96,1.60%,1.60%,1.00%,-1.40%,-1.20%,-1.70%,2.80%,1.20%,2.90%,4.10%
11/29/96,1.70%,2.30%,2.10%,1.70%,4.00%,4.00%,7.60%,0.80%,2.80%,0.40%
12/31/96,0.80%,0.70%,1.30%,1.00%,-0.70%,2.40%,-2.00%,0.00%,-2.10%,0.00%
1/31/97,2.80%,3.50%,3.20%,6.90%,1.50%,1.90%,6.20%,0.50%,-0.10%,4.50%
2/28/97,-0.20%,1.70%,1.00%,4.60%,2.40%,-2.50%,0.80%,0.20%,-0.10%,2.00%
3/31/97,-0.70%,-0.80%,-1.60%,-2.50%,0.50%,-4.90%,-4.10%,-0.10%,-2.10%,-0.90%
4/30/97,-0.30%,0.40%,-0.10%,1.00%,3.00%,0.10%,6.00%,0.80%,2.00%,0.90%
5/30/97,5.00%,1.80%,4.40%,3.00%,2.90%,11.00%,6.10%,0.70%,1.10%,-2.20%
6/30/97,2.00%,2.50%,2.70%,6.00%,5.40%,4.10%,4.50%,0.70%,1.70%,0.70%
7/31/97,5.00%,4.60%,3.90%,4.30%,5.20%,4.60%,8.00%,1.20%,4.10%,3.70%
8/29/97,1.30%,-0.30%,0.30%,-10.80%,-7.30%,2.20%,-5.60%,0.10%,-2.10%,-0.70%
9/30/97,5.70%,2.80%,3.70%,4.30%,5.10%,7.20%,5.50%,0.70%,2.20%,-0.70%
10/31/97,0.40%,-1.40%,-1.50%,-13.70%,-9.40%,-4.50%,-3.30%,0.80%,2.60%,0.10%
11/28/97,-0.90%,-0.50%,-0.90%,-1.70%,1.80%,-0.80%,4.60%,0.10%,0.30%,2.40%
12/31/97,1.40%,1.00%,0.90%,5.70%,3.20%,1.70%,1.70%,0.70%,1.30%,1.30%
1/30/98,-0.20%,-1.00%,-0.70%,-5.20%,4.80%,-1.60%,1.10%,1.00%,2.10%,-0.10%
2/27/98,4.10%,1.90%,3.30%,8.20%,5.70%,7.40%,7.20%,0.00%,-0.70%,-2.20%
3/31/98,4.50%,4.00%,3.00%,4.70%,5.10%,4.10%,5.10%,0.40%,0.10%,3.10%
4/30/98,1.40%,0.90%,1.00%,-0.80%,-0.70%,0.50%,1.00%,0.50%,0.40%,-1.20%
5/29/98,-1.30%,-0.90%,-2.10%,-11.90%,0.90%,-5.40%,-1.70%,0.50%,1.10%,2.90%
6/30/98,0.50%,-0.60%,-0.10%,-7.50%,1.10%,0.20%,4.10%,0.50%,1.30%,1.30%
7/31/98,-0.70%,-0.20%,-0.80%,3.10%,1.60%,-8.20%,-1.10%,0.50%,0.00%,-0.10%
8/31/98,-7.70%,-7.50%,-8.70%,-26.60%,-13.50%,-19.50%,-14.50%,1.40%,3.90%,0.30%
9/30/98,3.20%,-2.60%,0.70%,6.10%,-6.60%,7.60%,6.40%,1.40%,5.10%,0.80%
10/30/98,2.50%,-2.00%,1.20%,8.10%,6.30%,4.00%,8.10%,0.50%,-1.00%,3.10%
11/30/98,3.80%,1.40%,3.70%,8.10%,7.90%,5.20%,6.10%,-0.30%,-1.70%,-1.20%
12/31/98,5.40%,1.60%,2.80%,-1.40%,1.30%,6.10%,5.80%,0.30%,-1.70%,-1.00%
1/29/99,5.00%,1.40%,2.20%,4.90%,2.20%,1.20%,4.20%,0.20%,-1.70%,0.30%
2/26/99,-2.40%,-0.20%,-1.30%,2.20%,0.30%,-8.20%,-3.10%,-0.60%,-4.30%,2.30%
3/31/99,4.00%,2.10%,3.10%,11.10%,4.70%,1.40%,4.00%,0.70%,0.70%,1.00%
4/30/99,5.30%,3.30%,4.50%,11.20%,5.20%,8.80%,3.90%,0.20%,-0.40%,1.90%
5/31/99,1.20%,0.80%,0.70%,0.70%,-3.90%,1.40%,-2.40%,-0.20%,-2.10%,-0.70%
6/30/99,3.80%,2.80%,3.60%,10.30%,4.60%,4.30%,5.50%,0.30%,-0.90%,-1.00%
7/30/99,0.60%,0.70%,0.50%,-1.90%,-0.70%,-2.80%,-3.10%,0.30%,-0.30%,-1.30%
8/31/99,0.00%,0.10%,0.00%,1.60%,0.10%,-3.80%,-0.50%,0.30%,-0.50%,1.10%
9/30/99,0.30%,-0.10%,0.20%,-2.40%,-0.70%,-0.10%,-2.70%,0.70%,1.10%,-0.10%
10/29/99,2.30%,1.30%,1.60%,2.20%,3.90%,0.30%,6.30%,0.10%,-0.40%,-1.40%
11/30/99,6.80%,4.90%,5.10%,8.90%,5.50%,5.90%,2.00%,0.10%,-0.60%,1.80%
12/31/99,10.90%,6.80%,7.60%,11.40%,8.90%,11.20%,5.90%,0.10%,-1.40%,-0.60%
1/31/00,0.30%,1.50%,0.60%,0.80%,-4.00%,-1.70%,-5.00%,-0.10%,-1.00%,0.20%
2/29/00,10.00%,5.20%,6.20%,1.30%,4.80%,16.40%,-1.90%,0.60%,1.40%,-0.10%
3/31/00,1.70%,0.20%,0.90%,0.20%,2.00%,-6.70%,9.80%,0.60%,3.50%,-1.00%
4/28/00,-4.20%,-3.40%,-2.80%,-7.80%,-1.30%,-6.10%,-3.00%,0.10%,-1.00%,0.20%
5/31/00,-2.40%,-1.60%,-2.00%,-2.90%,-2.30%,-5.90%,-2.10%,0.50%,0.10%,0.10%
6/30/00,4.80%,2.80%,3.70%,3.10%,1.40%,8.60%,2.50%,1.10%,2.40%,-0.90%
7/31/00,-1.60%,-0.20%,-0.60%,-4.90%,-1.40%,-3.20%,-1.60%,0.60%,0.50%,-0.50%
8/31/00,5.40%,2.00%,3.80%,0.80%,2.80%,7.40%,6.20%,0.70%,1.60%,0.50%
9/29/00,-1.10%,-1.20%,-1.20%,-7.60%,-4.30%,-3.10%,-5.30%,0.80%,-0.10%,0.10%
10/31/00,-2.00%,-1.00%,-1.80%,-5.10%,0.20%,-4.50%,-0.40%,0.60%,0.80%,1.60%
11/30/00,-4.30%,-1.50%,-3.50%,-7.80%,-4.10%,-10.40%,-7.90%,1.00%,2.70%,0.00%
12/29/00,3.20%,1.40%,2.10%,1.90%,-0.60%,8.40%,0.50%,1.20%,2.90%,4.20%
1/31/01,2.90%,1.90%,3.40%,13.80%,1.40%,5.10%,3.50%,1.30%,0.20%,0.60%
2/28/01,-2.60%,-0.70%,-2.20%,-6.80%,-6.30%,-6.70%,-9.10%,0.60%,1.30%,-0.10%
3/30/01,-2.30%,-0.40%,-1.60%,-7.80%,-2.90%,-5.00%,-6.30%,0.70%,0.30%,4.00%
4/30/01,2.30%,0.70%,2.00%,4.70%,6.30%,7.70%,7.80%,0.20%,-2.60%,-1.00%
5/31/01,0.90%,0.90%,1.20%,2.30%,-2.20%,2.30%,0.70%,0.60%,-0.10%,0.80%
6/29/01,-0.30%,-0.10%,0.30%,-1.70%,-2.60%,3.30%,-2.40%,0.20%,0.50%,-0.50%
7/31/01,-1.10%,-0.40%,-0.80%,-5.30%,-3.60%,-5.50%,-1.00%,1.20%,3.20%,-2.10%
8/31/01,-1.20%,0.20%,-0.40%,-0.70%,-5.80%,-3.30%,-6.30%,0.70%,1.40%,0.80%
9/28/01,-3.70%,-1.60%,-2.80%,-13.40%,-10.40%,-13.60%,-8.10%,1.80%,2.40%,-0.60%
10/31/01,1.90%,0.90%,2.00%,6.50%,3.90%,5.80%,1.90%,1.00%,2.80%,-0.90%
11/30/01,2.00%,0.40%,2.10%,10.10%,4.50%,7.60%,7.70%,-0.40%,-3.20%,-1.20%
12/31/01,2.00%,1.10%,1.70%,9.50%,1.70%,6.00%,0.90%,0.00%,-1.80%,3.00%
1/31/02,0.20%,0.50%,0.40%,4.00%,-2.70%,-1.10%,-1.50%,0.20%,0.50%,-0.10%
2/28/02,-0.90%,-0.30%,-0.70%,1.90%,0.40%,-2.80%,-1.90%,0.50%,1.10%,-1.90%
3/29/02,2.00%,0.80%,1.90%,5.60%,4.50%,7.90%,3.80%,-0.90%,-3.70%,-2.30%
4/30/02,0.20%,0.60%,0.30%,-0.20%,-2.10%,0.80%,-6.10%,1.30%,3.00%,0.00%
5/31/02,0.00%,0.40%,0.00%,-2.90%,-1.40%,-4.50%,-0.70%,0.40%,0.80%,4.60%
6/28/02,-2.60%,-0.90%,-1.90%,-6.40%,-7.90%,-5.10%,-7.10%,1.00%,2.10%,6.40%
7/31/02,-3.90%,-1.30%,-2.90%,-6.50%,-10.10%,-15.20%,-7.80%,1.50%,3.20%,-0.70%
8/30/02,0.30%,0.30%,0.50%,1.30%,-0.20%,-0.40%,0.70%,0.40%,3.00%,-1.30%
9/30/02,-2.00%,-0.40%,-1.50%,-8.20%,-10.90%,-7.30%,-10.90%,1.00%,4.70%,-0.30%
10/31/02,0.60%,-0.20%,0.60%,4.80%,5.50%,3.10%,8.80%,0.20%,-2.10%,-0.70%
11/29/02,2.70%,0.80%,2.10%,5.30%,4.50%,8.80%,5.90%,-0.50%,-2.10%,-0.50%
12/31/02,-1.10%,0.70%,-0.20%,-4.70%,-7.20%,-5.70%,-5.90%,1.10%,3.60%,3.40%
1/31/03,0.00%,0.80%,0.70%,-0.60%,-5.50%,-2.90%,-2.60%,0.00%,-0.80%,1.90%
2/28/03,-0.80%,0.30%,0.00%,-2.80%,-1.80%,-3.10%,-1.50%,0.60%,2.60%,-0.20%
3/31/03,-0.10%,0.00%,0.10%,-2.90%,-2.30%,1.10%,1.00%,0.20%,-0.70%,0.00%
