Year,Low,2,3,4,5,6,7,8,9,High,High-Low
1927,18.48,9.07,17.17,26.26,32.73,25.11,35.4,27.19,39.44,67.43,48.95
1928,14.72,23.2,21.38,26.09,25.53,34.27,41.87,42.82,48.69,89.33,74.61
1929,-57.59,-47.84,-34.22,-21.34,-2.32,-13.33,5.95,1.32,0.25,-29.87,27.72
1930,-54.58,-48.38,-50.44,-49.55,-31.69,-31.66,-32.42,-19.73,-22.9,-20.87,33.71
1931,-64.51,-58.34,-60.56,-52.91,-53.87,-49.74,-49.39,-42.47,-34.78,-24.23,40.28
1932,25.69,-2.46,-12.21,-7.47,9.31,-1.33,-17.06,-14.37,-12.36,-25.79,-51.48
1933,64.45,67.3,53.29,94.86,48.35,68.61,55.22,83.8,82.27,52.31,-12.14
1934,-6.67,-2.42,-9.87,0.16,-11.03,3.73,8.62,-1.35,6.42,15.33,22
1935,24.05,84.96,30.9,37.39,44.59,35.53,46.87,48.38,55.08,75,50.95
1936,32.37,22.85,24.37,28.69,38.51,29.36,36.34,24.37,50.56,46.8,14.43
1937,-46.25,-30.35,-33.03,-37.85,-37.11,-35.54,-32.29,-28.54,-41.9,-46.34,-0.09
1938,30.89,27.17,30.16,27.67,24.98,28.73,50.18,25.96,16.95,24.61,-6.28
1939,-10.67,12.4,0.41,0.26,3.92,1.41,6.43,5.85,-2.36,-0.25,10.42
1940,-16.25,-11.04,-4.35,2.03,-6.16,-5.8,-7.87,-11.14,-9.91,-3.24,13.01
1941,-28.06,-14.71,-15.22,-6.62,-13.03,-12.03,-3.87,-3.31,-2.23,-7.34,20.72
1942,37.75,33.73,23.1,19.98,7.8,15.74,13.95,4.61,14.46,17.96,-19.79
1943,37.74,21.12,26.3,30.32,31.18,25.3,33.13,36.05,40.99,51.35,13.61
1944,21.85,20.54,18.65,26.08,18.3,25.55,26.58,35.49,36.47,33.5,11.65
1945,42.26,32.69,27.11,39.62,31.32,51.93,41.69,52.17,60.74,74.67,32.41
1946,-16.25,-13.18,-0.18,-7.8,4,-3.49,-0.55,-5.63,-9.42,-3.06,13.19
1947,-13.12,-7.46,0.07,2.98,4.91,5.98,13.74,7.98,-0.49,4.18,17.3
1948,-14.25,-0.88,-5.12,9.21,1.22,-0.78,-2.29,6.53,5.08,8.52,22.77
1949,30.51,22,22.85,19.1,19.61,14.98,23.04,22.33,15.82,27.04,-3.47
1950,17.08,27.21,19.56,30.14,32.78,27.73,26.37,38.86,43.53,34.97,17.89
1951,13.04,13.74,15.49,13.74,21.2,16.13,24.49,28.03,30.65,20.7,7.66
1952,3.13,9.01,8.42,6.06,11.1,17.59,14.13,18.88,12.66,18.39,15.26
1953,-19.72,-5.53,-5.89,-5.95,1.85,3.34,3.52,3.8,10.07,-0.65,19.07
1954,48.69,40.04,40.86,43.6,34.48,56.33,48.36,54.43,48.53,65.31,16.62
1955,14.52,15.24,15.84,18.28,25.02,22.73,38.93,23.79,30.86,39.07,24.55
1956,-6.44,-0.95,3,6.54,8.26,9.04,10.31,10.66,12.14,12.45,18.89
1957,-25.75,-21.47,-13.1,-10.35,-6.12,-10.63,-6.49,-9,-15.05,-1.88,23.87
1958,71.75,55.46,50.19,41.24,51.6,48.4,37.88,36.06,43.07,53.01,-18.74
1959,-1.98,-2.07,12.16,18.74,13.53,11.83,15.24,25.3,16.52,35.19,37.17
1960,-12.9,-10.22,-3.73,-10.07,1.67,-1.26,-2.47,1.49,13.36,17.67,30.57
1961,33.93,17.99,18.35,19.86,34.29,31.99,31.51,21.02,31.02,30.33,-3.6
1962,-20.06,-21.89,-20.3,-13.73,-9.51,-5.21,-12.49,-7.11,-4.87,-9.59,10.47
1963,6.73,15.69,16.15,24.7,14.05,18.04,19.33,16.98,28.01,28.93,22.2
1964,8.72,17.57,16.81,13.84,15.47,14.65,13.13,23.96,10.22,20.64,11.92
1965,22.26,10.37,9.53,13.53,9.39,6.76,8.64,23.71,25.36,51.56,29.3
1966,-14.33,-11.86,-12.75,-14.03,-8.26,-1.78,-6.98,-6.82,-0.99,5.4,19.73
1967,36.66,32.25,24.69,23.93,13.02,23.97,23.17,36.3,38.86,66.1,29.44
1968,20.1,19.89,11.75,3.97,24.89,8.6,1.86,11.83,23.05,33.62,13.52
1969,-35.72,-17.35,-9.57,-15.83,-14.63,-13.59,-10.29,-12.82,-10.67,-5.71,30.01
1970,-20.67,-2.38,11.98,9.31,11.6,4.39,2.82,3.58,-5.18,-8.41,12.26
1971,11.75,15.98,33.82,14.84,10.38,23.85,19.1,9.69,14.21,28.19,16.44
1972,-3.88,6.19,6.23,7.29,20.02,20.31,18.32,12.26,25.85,30.5,34.38
1973,-52.92,-48.51,-38.47,-31.43,-22.07,-18.93,-12.83,-17.63,-14.24,-2.72,50.2
1974,-39.23,-30.15,-26.39,-18.18,-28.87,-29.56,-26.98,-18.7,-21.69,-30.38,8.85
1975,55.62,51.87,50.19,43.34,37.34,42.45,24.5,26.39,34.24,41.03,-14.59
1976,18.09,18.98,18.33,33.63,37.85,26.77,34.76,27.02,26.57,33.57,15.48
1977,-17.86,-11.49,-7.22,-2.66,-3.09,-0.2,1.06,8.12,9.44,15.51,33.37
1978,-0.17,6.65,7.53,6.91,-2.56,9.59,4.3,13.33,23.53,30.4,30.57
1979,17.1,14.89,17.37,12.29,16.4,22.52,19.2,37.4,41.14,57.69,40.59
1980,29.65,15.01,20.05,15.42,8.51,32.71,35.57,50.13,56.84,53.8,24.15
1981,-0.66,11.74,4.53,8.33,1.74,-7.9,-6.2,-11.14,-6.91,-13.98,-13.32
1982,-11.17,3.78,18.79,17.52,9.54,27.12,30.58,31.67,41.35,35.3,46.47
1983,34.37,37.37,23.46,24.75,20.63,13.55,22.53,14.22,18.4,16.37,-18
1984,-20.28,-1.06,6.92,3.47,9.83,9.87,6.71,3.84,2.74,-3.74,16.54
1985,10.64,26.56,31.48,39.53,31.34,40.5,31.26,33.7,31.61,36.3,25.66
1986,-1.54,10.74,22.69,16.15,18.66,13.24,18.09,20.06,20.47,18.77,20.31
1987,-8.36,14.9,11.36,2.43,-4.39,-3.15,-4.52,2.88,-2.26,10.52,18.88
1988,17.82,30.94,31.37,25.04,18.46,11.74,18.23,11.24,19.98,12.54,-5.28
1989,-9.26,7.7,14.02,22.96,28.96,25.3,31.83,36.59,42.8,40.93,50.19
