Date,Market,Risk Free,Small,Big,High B/M,Low B/M,Winner,Loser
,Mkt,Rf,S,B,H,L,U,D
192607,2.84,0.22,0.76,3.25,0.99,3.9,,
192608,2.81,0.25,2.44,3.69,5.37,1.12,,
192609,0.59,0.23,-1.05,0.33,-0.46,-0.68,,
192610,-3.11,0.32,-3.47,-3.27,-3.03,-3.74,,
192611,2.75,0.31,2.82,3.16,2.7,3.09,,
192612,3.05,0.28,2.44,2.51,2.48,2.59,,
192701,0.14,0.25,1.22,1.33,4.41,-0.52,0.05,-0.19
192702,4.58,0.26,5.73,5.38,7.25,4.08,4.94,6.48
192703,0.62,0.3,-2.14,-0.27,-3,-0.08,-0.22,-3.45
192704,0.66,0.25,1.2,0.76,2.32,0.99,2.69,-1.59
192705,5.69,0.3,6.34,5.94,8.51,5.76,7.16,3.82
192706,-2.04,0.26,-1.11,-2.07,-2.37,-0.84,-2.16,-2.8
192707,7.57,0.3,4.55,7.72,5.51,6.91,7.91,3.92
192708,2.7,0.28,0.43,1.23,-0.17,3.33,1.84,0.52
192709,4.9,0.21,1.59,4.87,2.65,3.54,4.41,2.78
192710,-4.19,0.25,-2.71,-4.67,-6.06,-1.91,-4.64,-3.31
192711,6.87,0.21,9.2,6.99,8.51,8.71,7.83,8.31
192712,2.37,0.22,3.52,2.65,2.82,3.83,3.87,0.78
192801,-0.35,0.25,3.33,-1.15,0.36,1.65,0.48,0.71
192802,-1.44,0.33,-3.51,-1.61,-3.54,-2.69,-3.31,-1.96
192803,9.09,0.29,7.97,8.25,7.86,9.6,11.6,6.61
192804,4.32,0.22,8.35,4.2,6.59,3.71,3.88,7.92
192805,1.84,0.32,3.69,1.08,1.41,4.66,3.15,1.37
192806,-4.53,0.31,-8.08,-4.52,-6.37,-6.35,-5.23,-7.26
192807,1.01,0.32,-0.64,0.81,0.02,0.59,1.59,-0.83
192808,6.96,0.32,4.56,6.57,4.63,7.16,8.22,4.29
192809,3.14,0.27,5.4,3.36,5.43,4.63,6.7,2.67
192810,1.88,0.41,3.42,1.33,0.85,3.5,4.85,0.47
192811,12.13,0.38,10.66,12.22,12.29,9.55,10.93,9.58
192812,0.53,0.06,-0.51,0.42,0.12,0.47,0.09,-1.51
192901,5.21,0.34,1.54,4.23,1.56,3.54,4.39,2.23
192902,-0.02,0.36,1.48,0.17,0.97,0.14,2.42,-0.75
192903,-0.8,0.34,-4.16,-0.14,-2.57,-3.4,-2.58,-1.96
192904,1.68,0.36,1.44,1.87,1.94,0.79,2.63,0.59
192905,-5.91,0.44,-11.45,-3.92,-7.13,-8.39,-9.73,-7.14
192906,9.97,0.52,8.13,9.22,6.52,9.5,12.85,3.57
192907,4.53,0.33,0.88,4.99,4.19,2.18,4.08,0.67
192908,8.56,0.4,-0.77,8.39,2.76,2.68,7.23,1.52
192909,-5,0.35,-3.44,-5.09,-4.76,-3.79,-4.73,-6.3
192910,-19.55,0.46,-20.11,-16.06,-14.59,-23.37,-21.76,-25.8
192911,-12.33,0.37,-12.55,-11.01,-9.7,-15.06,-14.52,-13.61
192912,1.8,0.37,-2.91,1.96,-0.41,0.03,0.96,-2.95
193001,5.66,0.14,8.43,4.24,5.04,7.84,6.34,10.92
193002,2.77,0.3,2.39,2.07,2.82,2.52,3.21,2.24
193003,7.5,0.35,10.83,6.89,8.22,8.29,6.83,11.1
193004,-2.09,0.21,-4.5,-3.38,-5.76,-3.77,-1.31,-4.76
193005,-1.33,0.26,-2.93,-1.3,-2.88,-1.11,-1.53,-1.64
193006,-15.79,0.27,-17.29,-14.36,-15.42,-17.73,-15.19,-21.58
193007,3.97,0.2,5.04,4.5,3.99,6.33,2.97,5.65
193008,0.41,0.09,-2.68,-0.53,-2.38,-1.33,0.27,-3.33
193009,-12.4,0.22,-15.66,-13.57,-17.84,-13.39,-10.14,-21.88
193010,-8.7,0.09,-10.59,-9.21,-11.24,-10.42,-7.67,-14.62
193011,-2.6,0.13,-1.55,-3.82,-4.08,-1.15,-1.42,-0.23
193012,-7.84,0.14,-13.45,-8.42,-13.84,-8.79,-5.91,-19.49
193101,6.25,0.15,12.44,8.87,15.61,7.95,7.76,17.79
193102,10.94,0.04,13.53,10.54,14.73,12.11,8.72,23.21
193103,-6.4,0.13,-5.03,-7.73,-7.97,-4.71,-3.39,-12.81
193104,-9.85,0.08,-15.26,-10.48,-14.8,-10.89,-8.87,-20.33
193105,-13.29,0.09,-10.66,-16.41,-16.96,-10.65,-8.94,-18.17
193106,13.8,0.08,13.04,18.13,22.44,11.55,9.92,27.36
193107,-6.5,0.06,-7.8,-9.51,-9.84,-6.06,-3.75,-11.76
193108,0.23,0.03,-1.62,-0.5,-2.55,0.16,-2.05,1.78
193109,-29.01,0.03,-31.09,-30.43,-34.53,-28.43,-27.54,-37.46
193110,7.92,0.1,7.23,7.42,8.13,7.81,9.88,6.96
193111,-8.88,0.17,-8.07,-12.88,-12.54,-6.98,-7.25,-14.93
193112,-13.34,0.12,-17.45,-17.36,-21.74,-13,-9.87,-24.55
193201,-1.08,0.23,5.36,2.17,9.27,-1.3,-0.7,9.77
193202,5.6,0.23,2.02,3.13,0.14,5.26,6.15,4.04
193203,-10.87,0.16,-11.22,-13.3,-12.9,-11.69,-6.99,-17.74
193204,-17.92,0.11,-18.04,-19.34,-19.67,-18.94,-14.69,-21.76
193205,-20.75,0.06,-18.71,-23.95,-21.48,-18.21,-18.02,-31.07
193206,-0.51,0.02,1.65,3.55,7.04,-0.3,5.59,1.78
193207,33.75,0.03,41.88,49.12,65.28,29.34,22.33,67.18
193208,36.6,0.03,66.55,47.23,70.91,45.72,33.04,83.67
193209,-3.09,0.03,-6.86,-4.43,-8.97,-1.99,-6.15,-7.63
193210,-13.12,0.02,-19.84,-17.15,-23.39,-13.29,-13.96,-18.27
193211,-5.57,0.02,-7.62,-9.24,-14.85,-2.42,-9.8,-6.95
193212,4.58,0.01,-8.65,1.34,-7.55,-0.57,0.73,-4.28
193301,0.98,0.01,3.83,4.18,8.66,0.72,1.64,2.32
193302,-15.03,-0.03,-14.47,-13.33,-13.88,-15,-14.58,-19.06
193303,3.4,0.04,4.89,2.6,4.95,3.05,10.81,7.8
193304,38.37,0.1,51.61,47.08,57.04,38.68,40.36,55.85
193305,21.19,0.04,66.2,28.58,56.31,40.78,42.14,47.59
193306,13.44,0.02,24.63,16.39,19.32,22.29,19.41,16.29
193307,-9.61,0.02,-10.66,-10.33,-8.97,-10.22,-9.37,-9.91
193308,12.13,0.03,9.45,14.88,13.36,9.93,15.24,8.01
193309,-10.47,0.02,-13.93,-13.95,-20.95,-7.7,-13.27,-14.95
193310,-8.32,0.01,-11.42,-11.44,-15.71,-7.54,-11.65,-9.2
193311,9.99,0.02,5.35,11.6,9.05,7.88,11.02,5.01
193312,2,0.02,2.44,2.69,1.65,3.25,3.98,0.73
193401,12.98,0.05,29.48,17.29,32.01,14.99,22.72,26.2
193402,-2.33,0.02,2.21,-3.08,0.83,-1.05,-0.43,0.25
193403,0.48,0.02,2.07,-0.35,-0.58,2.34,0.43,1.5
193404,-1.79,0.01,0.18,-2.76,-3.42,1.47,-3.52,1.65
193405,-7.1,0.01,-9.79,-9.69,-13.75,-6.39,-10.67,-7.33
193406,2.52,0.01,0.15,2.7,0.4,2.75,0.11,0.36
193407,-10.82,0.01,-21.43,-15.34,-25.35,-13.42,-12.89,-21.75
193408,5.96,0.01,10.59,6.23,10.1,8.61,10.44,7.46
193409,-0.3,0.01,-2.07,-0.13,-1.84,-1.48,-0.41,-0.35
193410,-1.93,0.01,-1.96,-3.75,-5.23,-1.12,0.97,-5.62
193411,8.41,0.01,15.68,8.19,10.02,15.56,13.72,8.75
193412,0.39,0.01,2.5,-0.39,-0.5,2.58,3.67,-1.31
193501,-3.28,0.01,-4.29,-5.33,-6.92,-4.58,-2.65,-6.05
193502,-1.86,0.02,-5.2,-5.53,-9.89,-2.7,0.71,-12.85
193503,-3.7,0.01,-8.19,-4.6,-9.26,-4.33,-5.27,-7.56
193504,8.92,0.01,8.93,10.52,12.23,7.57,8.24,13.03
193505,3.48,0.01,0.1,4.09,2.47,0.68,2.45,6.37
193506,5.53,0.01,4.08,6.8,4.74,4.9,7.1,3.96
193507,7.36,0.01,12.87,10.12,15.06,9.53,9.01,13.68
193508,2.61,0.01,9.68,2.62,8.66,4.15,3.86,12.21
193509,2.59,0.01,3.18,2.32,0.55,4.79,6.77,-1.9
193510,7.13,0.01,9.11,6.85,7.2,7.44,9.32,7.04
193511,5.19,0.02,13.36,7.67,16.92,6.36,7.5,12.73
193512,4.61,0.01,6.74,5.83,5.87,5.58,7.65,4.07
193601,6.61,0.01,14.55,8.07,17.27,7.04,8.42,12.47
193602,2.57,0.01,4.87,4.13,6.36,2.51,5.28,2.67
193603,0.94,0.02,1.42,0.45,-0.49,1.73,1.78,0.37
193604,-8.05,0.02,-15.16,-8.33,-13.35,-11.16,-13.9,-6.16
193605,5.03,0.02,6.25,5.48,7.59,5.04,6.94,4.12
193606,2.6,0.03,-0.95,2.1,-0.23,0.65,1.59,1.04
193607,6.46,0.01,9.16,7.91,10.09,8.28,8.33,4.98
193608,1.08,0.02,1.95,2,3.95,0.36,1.28,0.71
193609,1.43,0.01,4.25,0.99,2.33,3.05,3.42,2.54
193610,6.91,0.02,5.65,7.91,7.14,5.3,6.85,5.43
193611,3.33,0.01,10.43,2.29,5.82,7.64,7.48,5.37
193612,0.21,0,3.71,0.52,4.94,-0.64,3.06,0.89
193701,3.25,0.01,8.42,3.81,8.86,5.27,5.43,6.94
193702,1.3,0.02,3.45,3.23,7.03,1.53,4.46,1.05
193703,-0.35,0.01,-0.84,1.47,4.05,-2.72,1.11,-1.28
193704,-7.42,0.03,-11.4,-8.01,-12.68,-7.72,-11.96,-8.47
193705,-0.86,0.06,-1.92,-1.16,-3.41,0.17,-1.52,-2.08
193706,-4.16,0.03,-8.03,-4.73,-8.54,-5.42,-5.85,-7.13
193707,8.89,0.03,10.68,8.7,10.16,10.13,10.37,10.71
193708,-4.86,0.02,-5.23,-5.3,-6.55,-4.21,-6.31,-4.76
193709,-13.54,0.04,-21.52,-14.66,-21.11,-16.54,-22.43,-15.54
193710,-9.47,0.02,-10.58,-10.9,-12.62,-10.86,-10.71,-9.44
193711,-8.37,0.02,-11.84,-8.44,-10.28,-10.47,-8.89,-9.08
193712,-4.01,0,-12.55,-4.56,-9.95,-8.62,-6.69,-10.69
193801,0.76,0,5.8,-0.11,1.87,3.84,2.41,3.23
193802,5.79,0,5.93,5.9,5.42,7.02,4.54,7.54
193803,-23.71,-0.01,-29.76,-25.86,-31.28,-26.78,-21.49,-37.56
193804,14.56,0.01,21.04,14.33,17.71,17.76,15.03,24.09
193805,-3.92,0,-6.99,-4.5,-6.18,-5.38,-3.14,-9.85
193806,23.61,0,29.77,25.91,30.31,28.21,18.13,42.38
193807,7.19,-0.01,14.5,7.74,11.63,11.07,8.45,13.73
193808,-2.72,0,-6.35,-3.98,-7.21,-3,-3.05,-6.65
