BB,DT,ERJ,ESTE,GCI,H,IVT,KODK,KOS,NCR,NOW,PAY,SHOP,SPOT,TTI
5.15,38.46,8.9,16.46,3.09,75.91,26.7,5.36,6.53,31.01,443.79,13.14,317.75,99.01,4.25
5.07,37.43,8.45,18.19,2.95,76.31,26.57,5.25,6.99,30.04,428.08,12.77,305.23,97.85,4.29
5.19,38.46,8.87,16.74,3.09,75.91,27.12,5.36,6.57,31.01,443.79,13.14,316.89,99.27,4.25
5.19,38.46,8.87,16.74,3.09,75.91,27.12,5.36,6.57,31.01,443.79,13.14,316.89,99.27,4.25
5.19,38.46,8.87,16.74,3.09,75.91,27.12,5.36,6.57,31.01,443.79,13.14,316.89,99.27,4.25
5.19,38.46,8.87,16.74,3.09,75.91,27.12,5.36,6.57,31.01,443.79,13.14,316.89,99.27,4.25
5.27,40.09,9.01,17.26,3.08,75.05,26.57,5.67,6.8,30.71,455.27,13.78,328.25,101.4,4.34
5.32,40.46,9.15,14.98,3.03,73.02,26.22,5.52,6.18,31.02,458.65,13.49,338.54,99.33,4.24
5.37,41.8,9.31,14.16,3.04,71.21,26.66,5.37,6.33,31.46,485.53,14.21,363.83,102.19,3.9
5.75,44.08,9.5,13.51,3.12,76.31,26.29,5.3,6.25,33.1,504.09,14.25,385.23,107,4.17
5.75,44.08,9.5,13.51,3.12,76.31,26.29,5.3,6.25,33.1,504.09,14.25,385.23,107,4.17
5.75,44.08,9.5,13.51,3.12,76.31,26.29,5.3,6.25,33.1,504.09,14.25,385.23,107,4.17
5.8,42.63,9.37,14.68,3.08,77.18,27.01,5.32,6.4,33,496.7,14.22,37.32,106.27,4.37
5.74,41.6,9.15,16.27,2.96,75.64,26.5,5.09,6.72,31.29,473.44,13.81,35.03,99,4.34
5.54,41.51,9.06,14.93,2.91,75.27,25.61,4.73,6.4,31.1,477.79,13.38,33.05,97.96,4.11
5.39,39.44,8.78,13.65,2.9,73.91,25.79,4.64,6.19,31.11,475.52,13.37,31.24,93.83,4.06
5.45,41.01,8.91,13.57,2.91,75.17,25.99,4.64,6.22,30.38,484.36,13.66,31.41,97.52,4.02
